New Customers Sale,,,,New Customers No Sale,
Customer,Name,,,Customer,Name
2012303,OAKSHIRE MANUFACTURING CO. LLC,,,2012207,WORWAG PHARMA PRODUCTION GMBH & CO. KG
2012388,FOOTHILLS PROFESSIONAL PHARMACY,,,2012208,APOTHEEK OLYSLAGER-SNOECKX BV
2012452,EVOLUCIONA PHARMACY,,,2012211,APEX PHARMA
2012469,NLRX,,,2012209,DELTA BUOY
2012218,SARL BIOGALENIC,,,2012215,SUDAIR PHARMACEUTICAL COMPANY
2012363,HALEON IRELAND DUNGARVAN LIMITED,,,2012216,"THE CATHAY YSS DISTRIBUTORS CO., INC."
2012228,CRINETICS PHARMACEUTICALS,,,2012217,UNIVERSITY OF DEBRECEN FACULTY OF PHARMACY
2012280,BIOLAB SANUS FARMA BRAGANCA,,,2012221,EMS BSB BRAZIL
2012322,FUNGTIO,,,2012222,OSTROVIT SP. Z O.O.
2012312,ARDENA US LLC,,,2012224,AROHA
2012282,MILLICENT MANUFACTURING PR LLC,,,2012225,BOSTON BIOPHARMA INC.
2012299,"PHARMATROPHIX, INC.",,,2012226,MONTE VERDE SA
2012399,HALEON ITALY MANUFACTURING S.R.L.,,,2012229,CERNELLE AB
2012340,EDEN'S ELIXIRS,,,2012232,AFERSA
2012295,NEXT HEALTH SOLUTION,,,2012233,KG-PHARMA AB
2012397,ASCEND WELLNESS HOLDINGS,,,2012234,BRULUAGSA SOCIEDAD ANONIMA DE CAPITAL VARIABLE
2012400,ORGANON LLC,,,2012235,SYLVATEX
2012330,APL HEALTH CARE LIMITED,,,2012236,PORVAIR SCIENCES LIMITED
2012423,STRIVE PHARMACY TAMPA,,,2012242,ZAFA PHARMACEUTICAL LABORATORIES PVT LTD
2012411,ALWAFI PHARMA,,,2012241,NIPRO JMI PHARMA LTD
2012210,"360 LABS, INC.",,,2012244,ELITE LABS
2012293,NUCROGENE INC,,,2012248,KONAPHARMA AG
2012377,ELIS MANUFACTURING & PACKAGING,,,2012250,SEREM KIMYEVI MADDELER LABIRATUVAR
2012252,OPTIMAL NUTRITION ENTERPRISE INC,,,2012251,NOVOCOGITO LTD
2012247,HYDROPONIC RESEARCH,,,2012254,DR. REDDY'S LABORATORIES LTD.
2012390,GO2 PACK AND FILL NUTRITIONAL,,,2012258,FROM WITHIN HEALTH
2012230,ALDOURIE,,,2012260,DHG PHARMA JOINT STOCK COMPANY
2012255,LINK RX,,,2012261,PHARMA PHARMACEUTICALS & BIOLOGICAL PRODUCTS
2012346,"GLOBALLEE, INC",,,2012262,PROMPT INTERNATIONAL GENERAL TRADING LLC
2012361,CENTAUR NUTRACEUTICALS,,,2012259,SOW FLOW SOLUTIONS LLC
2012212,ARIZONA NUTRITIONAL SUPPLEMENT,,,2012271,EPIVARA INC.
2012266,PAGARI PHARMATECH INC.,,,2012263,KEMEX LABORATORIES
2012316,"GCF INDUSTRIES, INC.",,,2012267,PV PRODUCTS
2012243,MIDNIGHT MANUFACTURING,,,2012268,EAMAH ENTEPRENEUR
2012264,INTERM LLC,,,2012269,GRUPO MEDIFARMA
2012245,ARTISAN MINTS,,,2012270,GBIOMED NIGERIA LIMITED
2012240,SANDSTONE SPRINGS LLC,,,2012273,SUNPHARMA
2012306,THAT ONE PLACE,,,2012274,WEST QUIMICA
2012287,LABORATORIO LKM S.A. (KNIGHT THERAPUETICS),,,2012276,VEFA ILAC
2012421,"CAPPLUS TECHNOLOGIES, INC.",,,2012279,GLOBAL PHARMACUTICAL
2012275,BINATE ANALYTICS,,,2012283,"ENVIRONMENTAL DYNAMICS, INC"
2012384,COMPANIA INDUSTRIAL DE TABACOS MONTE PAZ S.A.,,,2012285,ZISKA PHARMACEUTICALS LTD
2012383,HALEON SOUTH AFRICA (PTY) LTD,,,2012288,BIOPHARMACIE
2012246,TERREMOTO BIOSCIENCES INC.,,,2012292,UPSTERS ENERGY GMBH
2012304,LABORATOIRE LSL INC.,,,2012297,ACDIMA INTERNATIONAL TRADING
2012237,"SEATTLE GOURMET FOODS, INC",,,2012301,A1 MEDICAL
2012413,HD SUPPLEMENTS LTD,,,2012302,"NATURAL HEALTH, COLOMBIA"
2012328,NUTRAPRODUCTS INC.,,,2012307,LABORATORIOS COASPHARMA
2012349,"PYXIS BIOLOGIX, INC.",,,2012308,MEDEAST MANUFACTURING
2012206,HAPPY BRAINS LLC,,,2012309,LUMA X NEBRA
2012356,ANTARES THERAPEUTICS,,,2012310,LABORATORIOS FARMACAPSULAS
2012253,ALTOS LABS,,,2012315,CF PHARMA IRELAND LTD
2012350,AMR ESPECIALIDADES SPA,,,2012317,V.S. INTERNATIONAL PVT. LTD.
2012272,BOLD MACHINE,,,2012318,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA
2012331,DUOPHARMA INNOVATION SDN BHD,,,2012319,QUOTIENT SCIENCES
2012223,PH COSMETIC,,,2012320,NLP CLINICAL LLC
2012281,PT STERLING PRODUCTS INDONESIA,,,2012321,AII SYSTEMS
2012298,JC ARC TECH,,,2012323,LABORATORIOS LABMAC
2012213,SIGNAL PAHRMACEUTICALS LLC,,,2012324,HUMAX PHARMACEUTICAL
2012220,ARIHANT INNOCHEM PVT LTD,,,2012325,JAMJOOM ALGERIA LIL DAWA
2012374,"USI SUPPLEMENTS, INC",,,2012326,PHARMA INVEST PRODUCTION S.P.A.
2012291,SMIBA GLOBAL D.O.O.,,,2012327,BIOINNOVATIONS S.P.A.
2012294,SV LABS CORPORATION,,,2012329,HEVIGA PHARMA PARTS
2012286,GENOVA BIOSCIENCES INC,,,2012332,ARIASSTAMPI SA DE CN
2012358,FRESH VITAMINS LLC,,,2012335,SOUTHWEST EQUIPMENT GROUP
2012265,E2E PHARMA LLC,,,2012336,PT ROECHAN SUPPLY SOLUTON
2012379,NATOLI ENGINEERING,,,2012337,CUSTOMER PRODUCTION AUTOMATION CORPORATION
2012371,DEPT OF THE ARMY DEVCOM CBC,,,2012338,"UDC USA, INC."
2012278,BUTTENBERG & MP LLC.,,,2012339,VANTAGE NUTRITION LLC
2012314,PURE PHARMACIES GENERAL PARTNERSHIP,,,2012344,MARKSANS PHARMA LTD
2012431,FRCA CORPORATION,,,2012343,ECO LIVING TRADING
2012422,A1 MEDICAL,,,2012345,"SAKA FARMA LABORATORIES, PT"
2012219,SYKES SUPPLY,,,2012347,NORWEST MANUFACTURING
2012296,ARTEMIS NUTRITIONALS,,,2012352,TSHWANE UNIVERSITY OF TECHNOLOGY
2012392,A1 MEDICAL,,,2012353,SOLENIS
2012257,GFC PHARMA LLC,,,2012354,LACORE NUTRACEUTICALS
2012305,A1 MEDICAL,,,2012355,DEI BIO PHARMA LIMITED
2012406,MYCELIUM PHARMACY LLC,,,2012357,VETMARKET
2012300,ORGANIMED LLC,,,2012359,LABORATORIO PABLO CASSARA SRL
2012256,CLDD LLC,,,2012362,GYPTO PHARMA
2012334,ROY IMPORT LLC,,,2012364,IMPROVED PHARMA
2012454,"CANGRO IND, AN APPLIED COMPANY",,,2012365,LABOARTORIOS BARLY COSTA RICA
2012238,MASTER ENTERPRISE USA,,,2012370,ONE BIOLIFE
2012468,EXFLUOR RESEARCH CORPORATION,,,2012366,LA SANTA COLOMBIA
2012348,BIOWELL LABORATORIES,,,2012367,LABORATORIO LA SANTE C.A
2012214,PATHEON PHARMACEUTICALS INC. C/O THERMO FISHER SC,,,2012368,LABORATOIRES LEHNING
2012360,IAMBIC THERAPEUTICS INC,,,2012369,LABOARTORIOS BARLY S.A
2012405,"SCINTIPHARMA, INC",,,2012372,EVOLUTION DISTRO
2012204,CARGILL FOOD INNOVATION CENTER,,,2012373,STEMLINE THEARAPUTICS INC
2012351,ELITE PERFORMANCE LABS,,,2012376,PATEL & DANI LP
2012313,COPERNIC CATALYSTS,,,2012378,HALDA THERAPEUTICS
2012414,CRC INC OF TEXAS,,,2012380,GRAVITAS TECHNOLOGIES
2012436,INTREPID LABS INC,,,2012381,ZEYTAA LLC
2012277,"CHEMPLEX INSUSTRIES, INC",,,2012382,PHARMACY SPECIALISTS OF CENTRAL FLORIDA
2012284,NUTRITIONAL SALES & CUST. SRV.,,,2012385,WIN (PERU) SAC
2012333,AMT MEDICAL,,,2012386,KOMPOTU ILAC
2012375,PONDLA VINEEL,,,2012387,SOLIS PHARMACEUTICALS INC
2012429,ROGUE DEFENSE,,,2012389,FACULTAD CIENCIAS QUIMICAS
2012290,DLM HOLDING GROUP,,,2012391,NUPLAM FEDERAL UNIVERSITY OF RIO GRANDE DO NORTE
2012249,AMP NUTRACEUTICALS INC,,,2012394,DELTA PHARMA
2012467,INDUSTRY SOLUTIONS USA LLC,,,2012393,M&V CONINSTAL S.R.L.
2012289,GREAT WHITE LABEL,,,2012395,LACOFA-COSTA RICA
2012311,NUTRIO2 LLC DBA VITAWORKS WEST,,,2012396,LISAN-COSTA RICA
2012341,RICH DISTRIBUTING,,,2012398,TECHNOCARE SAS COLOMBIA
2012342,XPEDITE LEASING INC. (dba PRIME CAPITAL),,,2012401,"FAREVA, COLOMBIA"
2012231,NOVEL COMPOUNDING PHARMACY,,,2012402,PT NULAB
2012227,TABPRESS,,,2012403,TRIAD RX PHARMACY
2012239,GREEN FARMS MISSOURI LLC,,,2012404,PREMIUM HEALTH PHARMA
,,,,2012420,KEYSTONE COPACK MANUFACTURING
,,,,2012424,MULTISERVICIOS SINERGICOS JYE
,,,,2012425,4-AMINO-LABS
,,,,2012407,CANA LABORATORIES
,,,,2012408,IBERFAR INDUSTRIA FARMACEUTICA S.A.
,,,,2012409,KALARAIL
,,,,2012410,LABORATORIOS TEMIS LOSTALO
,,,,2012412,CARLISLE LABORATORIES LTD
,,,,2012415,F HOFFMANN - LA ROCHE AG
,,,,2012416,CHRISTOFFEL APOTHEKE AG
,,,,2012417,SPENRO AIRCRAFT TOOL SUPPLY
,,,,2012418,REDECAN PHARM
,,,,2012419,PHARMAPACK
,,,,2012430,CASUAL MINTS
,,,,2012426,IKOCHMIKI SA
,,,,2012427,AVG LAB
,,,,2012428,FERRING PHARMACEUTICALS A/S
,,,,2012432,POLPHARMA SANTO
,,,,2012433,IPCA LABORATORIES
,,,,2012434,TANTUS SP. Z.O.O.
,,,,2012435,LABORATORIO TIARAJU
,,,,2012437,PRODUCTOS CIENTIFICOS SA DE CV
,,,,2012438,ESJAY PHARMA PRIVATE LIMITED
,,,,2012439,CID PHARMACEUTICAL
,,,,2012440,FARMAMAG AMBALAJ SANAYI VE TICARET ANONIM SIRKETI
,,,,2012441,CUNSA INTERNATIONAL
,,,,2012443,OMNISEAL SOLUTIONS
,,,,2012442,STEIGEN SA
,,,,2012444,SARL MAGIC BIO
,,,,2012445,SOIS LIFE SCIENCES
,,,,2012446,MEDICAIR BIOSCIENCE LABORATORIES SA
,,,,2012447,FARMELLAS INTERNATIONAL MON. I.K.E.(MEDICHROM)
,,,,2012448,BIOTECH USA LTD
,,,,2012449,PD LABS
,,,,2012450,AZURITY PHARMACEUTICALS
,,,,2012453,CRESCENT PHARMA
,,,,2012451,DROGADERMUS
,,,,2012458,FUNKY UNICORN LLC
,,,,2012456,"BEIGENE (SUZHOU) CO., LTD."
,,,,2012462,ATLANTIC GLOBAL SUPPLY LLC
,,,,2012459,KAYAKUSAFETY SYSTEMS (M) SDN.BHD
,,,,2012460,NEW ERA COMPOUNDING
,,,,2012461,AL-ALAMYAH COMPANY FOR PHARMACEUTICAL IND LTD IRAQ
,,,,2012463,ART OF BEVERAGE
,,,,2012464,ECOLAB-NC
,,,,2012465,ADWIA PHARMACEUTICAL
,,,,2012466,"PHARMARKET, COLOMBIA"
,,,,2012470,CAMS
,,,,2012471,SOLID DOSE TECHNOLOGY LLC
,,,,2012472,VITAMINS FOR LIFE LLC
,,,,2012455,ZIVAQ PHARMA
